iter	RMSE
158	80.91531202
159	80.51531582
160	80.21393075
161	80.03078238
162	79.76549276
163	79.51008436
164	79.11959408
165	78.8241519
166	78.34402874
167	78.03915407
168	77.85201285
169	77.38842516
170	77.21248951
171	76.83037374
172	76.64271027
173	76.35495352
174	75.82430452
175	75.57368449
176	75.16643464
177	74.97508698
178	74.868619
179	74.62565499
180	74.12377888
181	73.73486666
182	73.50024669
183	73.0089494
184	72.72058682
185	72.52057095
186	72.26488398
187	72.13310482
188	71.86594599
189	71.7164792
190	71.5863939
191	71.20624451
192	70.93645408
193	70.72676891
194	70.59315868
195	70.38006484
196	70.03538338
197	69.70990794
198	69.59097209
199	69.48309614
200	69.31140389
201	69.08672708
202	68.78607171
203	68.55509834
204	68.35129324
205	68.14281718
206	67.89379083
207	67.45655481
208	67.28108021
209	67.11038538
210	66.88465402
211	66.63970979
212	66.43180948
213	66.25606914
214	66.05442889
215	65.91573765
216	65.84193492
217	65.59336328
218	65.46075418
219	65.28790282
220	65.0906313
221	64.86927506
222	64.66275627
223	64.35420246
224	64.1675731
225	64.00340546
226	63.79322745
227	63.64400791
228	63.4283603
229	63.16657103
230	62.93003178
231	62.71669167
232	62.51171298
233	62.35422176
234	62.22680224
235	61.95361397
236	61.6235953
237	61.49435339
238	61.45403823
239	61.24554554
240	61.04044404
241	60.82011048
242	60.42981402
243	60.28978125
244	60.10706607
245	59.91586846
246	59.77094485
247	59.61106546
248	59.4288078
249	59.3042679
250	59.14494676
251	59.0242652
252	58.93880465
253	58.76585176
254	58.54545582
255	58.33312549
256	58.26460063
257	58.05085783
258	57.90003363
259	57.68469321
260	57.54846142
261	57.43919741
262	57.3177256
263	57.17735221
264	57.03436042
265	56.93936973
266	56.85091363
267	56.7215853
268	56.47315399
269	56.35529639
270	56.21738847
271	56.12754275
272	56.0256091
273	55.87656675
274	55.72214935
275	55.56986902
276	55.37923827
277	55.0979254
278	54.95023297
279	54.81889669
280	54.62129337
281	54.51358195
282	54.42319776
283	54.23851674
284	53.97805177
285	53.86494749
286	53.72993784
287	53.59782228
288	53.45751653
289	53.35336478
290	53.21912896
291	52.96440262
292	52.80713622
293	52.66677354
294	52.48182959
295	52.35302947
296	52.2511457
297	52.18486256
298	52.0967899
299	51.92808379
300	51.872746
301	51.78277293
302	51.61989472
303	51.52405228
304	51.41162084
305	51.32462573
306	51.15498757
307	51.06215311
308	50.86594477
309	50.60140695
310	50.4874926
311	50.25836027
312	50.10454093
313	49.87800376
314	49.80772139
315	49.70745053
316	49.57039137
317	49.50452443
318	49.45848767
319	49.38863463
320	49.27152842
321	49.20617973
322	49.08174237
323	48.9995374
324	48.95491778
325	48.83138059
326	48.72705411
327	48.61463076
328	48.45439487
329	48.28086045
330	48.20579786
331	48.13781334
332	48.02217173
333	47.92987007
334	47.8569085
335	47.74578831
336	47.61625946
337	47.4552633
338	47.36428537
339	47.26358423
340	47.04606046
341	46.79325066
342	46.69836404
343	46.60708974
344	46.45694633
345	46.3828311
346	46.32345573
347	46.2395038
348	46.14718509
349	46.10611612
350	45.9864692
351	45.84132706
352	45.77434874
353	45.68287723
354	45.59278109
355	45.45034305
356	45.28644516
357	45.22463323
358	45.15512545
359	45.0543873
360	44.95720043
361	44.83262414
362	44.74964324
363	44.67579072
364	44.62273717
365	44.48376403
366	44.39231137
367	44.29904903
368	44.22587826
369	44.09215387
370	44.02205763
371	43.93024393
372	43.85419459
373	43.73332887
374	43.60767608
375	43.51962587
376	43.41853514
377	43.28498973
378	43.19507179
379	43.13099416
380	43.05129889
381	43.01633109
382	42.92471277
383	42.86390887
384	42.79030896
385	42.66812958
386	42.59312468
387	42.57280608
388	42.53362822
389	42.45423653
390	42.37536925
391	42.2923098
392	42.16616359
393	42.12539055
394	42.04495807
395	41.93426605
396	41.82341133
397	41.6660755
398	41.60463483
399	41.504457
400	41.47229791
401	41.33453525
402	41.21267687
403	41.15945885
404	41.10759905
405	41.0503787
406	40.98521866
407	40.91320478
408	40.86507865
409	40.81991194
410	40.69773986
411	40.59471099
412	40.48728514
413	40.43599997
414	40.35444809
415	40.29737945
416	40.23814709
417	40.15171837
418	40.10619159
419	40.04376305
420	39.98024255
421	39.9041421
422	39.82919816
423	39.77526142
424	39.73242973
425	39.68553479
426	39.63824329
427	39.56800664
428	39.49265263
429	39.41557092
430	39.28914321
431	39.18334683
432	39.10045444
433	38.97391665
434	38.93826063
435	38.84449567
436	38.79600076
437	38.73645343
438	38.67824593
439	38.59664721
440	38.56032824
441	38.47868352
442	38.42335544
443	38.3774819
444	38.28563826
445	38.1661386
446	38.04466388
447	37.96419732
448	37.9149
449	37.86259126
450	37.80842563
451	37.75906496
452	37.68586679
453	37.62239677
454	37.56858718
455	37.48532632
456	37.42392647
457	37.32109031
458	37.21218464
459	37.17583648
460	37.09625246
461	37.04097543
462	36.97093998
463	36.92938187
464	36.89816911
465	36.83498713
466	36.7563385
467	36.68779974
468	36.63941556
469	36.59155255
470	36.51406329
471	36.47146696
472	36.41332191
473	36.36946642
474	36.29103224
475	36.22016472
476	36.16039002
477	36.1094119
478	36.0541029
479	36.02885215
480	35.96868911
481	35.9146777
482	35.88059621
483	35.7494193
484	35.70265551
485	35.64072806
486	35.52287691
487	35.43151951
488	35.34200698
489	35.30247207
490	35.24473596
491	35.12157206
492	35.08002319
493	35.01733933
494	34.92690161
495	34.88527628
496	34.83724881
497	34.73155368
498	34.69250981
499	34.64847711
